iter	Passed	Remaining
607	61887	39901
608	61983	39795
609	62083	39692
610	62172	39582
611	62273	39480
612	62381	39382
613	62480	39279
614	62578	39175
615	62666	39064
616	62786	38974
617	62881	38868
618	62979	38764
619	63075	38659
620	63199	38570
621	63316	38478
622	63500	38426
623	63667	38363
624	63773	38264
625	63871	38159
626	63969	38055
627	64059	37946
628	64149	37836
629	64245	37731
630	64337	37623
631	64439	37521
632	64533	37415
633	64608	37297
634	64696	37187
635	64801	37087
636	64904	36986
637	64995	36878
638	65087	36770
639	65182	36665
640	65291	36567
641	65376	36455
642	65472	36350
643	65572	36248
644	65679	36148
645	65783	36048
646	65896	35952
647	66009	35856
648	66124	35762
649	66242	35669
650	66359	35575
651	66469	35477
652	66592	35386
653	66710	35293
654	66836	35204
655	66968	35117
656	67076	35018
657	67163	34908
658	67258	34803
659	67358	34699
660	67461	34598
661	67577	34503
662	67684	34403
663	67788	34302
664	67891	34201
665	67982	34093
666	68073	33985
667	68194	33893
668	68335	33810
669	68471	33724
670	68621	33646
671	68772	33567
672	68888	33471
673	68977	33363
674	69085	33263
675	69190	33162
676	69290	33058
677	69409	32964
678	69538	32874
679	69653	32778
680	69768	32681
681	69881	32584
682	69993	32486
683	70120	32394
684	70251	32305
685	70359	32205
686	70450	32097
687	70540	31989
688	70641	31886
689	70752	31787
690	70855	31684
691	70948	31578
692	71053	31476
693	71151	31372
694	71261	31272
695	71364	31170
696	71467	31068
697	71580	30970
698	71700	30875
699	71800	30771
700	71901	30668
701	71993	30561
702	72093	30457
703	72180	30348
704	72274	30242
705	72369	30136
706	72461	30030
707	72562	29926
708	72678	29829
709	72781	29727
710	72882	29624
711	72986	29522
712	73108	29428
713	73210	29325
714	73308	29220
715	73409	29117
716	73507	29013
717	73619	28914
718	73745	28821
719	73876	28729
720	73970	28623
721	74071	28520
722	74188	28423
723	74292	28321
724	74413	28225
725	74541	28132
726	74659	28035
727	74789	27943
728	74894	27841
729	75003	27741
730	75119	27643
731	75225	27541
732	75328	27438
733	75434	27337
734	75540	27235
735	75644	27133
736	75752	27032
737	75839	26924
738	75938	26820
739	76036	26715
740	76141	26613
741	76237	26508
742	76342	26406
743	76439	26301
744	76535	26196
745	76630	26091
746	76842	26025
747	77002	25942
748	77149	25853
749	77289	25763
750	77408	25665
751	77510	25561
752	77687	25483
753	77784	25378
754	77893	25276
755	78009	25177
756	78200	25102
757	78319	25004
758	78449	24909
759	78540	24802
760	78659	24703
761	78760	24599
762	78853	24493
763	78949	24387
764	79041	24280
765	79127	24172
766	79218	24065
767	79306	23957
768	79458	23868
769	79584	23771
770	79722	23679
771	79847	23581
772	79942	23476
773	80027	23367
774	80116	23259
775	80265	23169
776	80508	23105
777	80840	23067
778	80990	22976
779	81140	22885
780	81272	22789
781	81437	22702
782	81547	22600
783	81650	22495
784	81883	22426
785	82186	22376
786	82303	22275
787	82418	22173
788	82532	22071
789	82639	21967
790	82748	21864
791	82861	21761
792	83030	21673
793	83149	21572
794	83236	21463
795	83423	21379
796	83577	21287
797	83786	21209
798	83903	21107
799	84088	21022
800	84291	20941
801	84407	20838
802	84524	20736
803	84648	20635
804	84749	20529
805	84872	20428
806	84980	20323
807	85154	20234
808	85287	20135
809	85426	20038
810	85557	19938
811	85680	19837
812	85796	19734
813	85897	19627
814	86004	19522
815	86101	19414
816	86197	19307
817	86296	19200
818	86394	19093
819	86481	18983
820	86597	18880
821	86702	18775
822	86805	18669
823	86899	18561
824	87022	18459
825	87116	18351
826	87224	18246
827	87315	18138
828	87413	18030
829	87496	17920
830	87593	17813
831	87825	17733
832	87928	17627
833	88028	17521
834	88158	17420
835	88278	17317
836	88392	17213
837	88504	17109
838	88610	17003
839	88710	16897
840	88826	16793
841	88973	16695
842	89124	16598
843	89679	16575
844	90114	16529
845	90838	16535
846	90978	16434
847	91123	16333
848	91232	16226
849	91380	16125
850	91539	16027
851	91685	15926
852	91803	15820
853	91944	15718
854	92106	15620
855	92269	15521
856	92436	15424
857	92553	15317
858	92673	15211
859	92872	15118
860	93043	15020
861	93544	14975
862	93818	14893
863	94027	14800
864	94458	14742
865	94967	14694
866	95134	14593
867	95301	14492
868	95468	14391
869	95625	14288
870	95844	14195
871	96003	14092
872	96269	14004
873	96442	13903
874	96660	13808
875	96787	13700
876	97006	13605
877	97255	13513
878	97380	13404
879	97562	13303
880	97788	13208
881	98141	13130
882	98336	13029
883	98439	12917
884	98551	12806
885	98645	12692
886	98790	12585
887	98908	12474
888	99205	12386
889	99320	12275
890	99421	12162
891	99562	12054
892	99667	11942
893	99774	11830
894	99906	11720
895	100029	11610
896	100151	11500
897	100269	11389
898	100370	11276
899	100522	11169
900	100682	11062
901	100796	10951
902	100985	10847
903	101124	10738
904	101254	10628
905	101399	10520
906	101516	10409
907	101632	10297
908	101800	10191
909	101964	10084
910	102084	9973
911	102501	9890
912	102681	9784
913	102819	9674
914	102949	9563
915	103090	9453
916	103237	9344
917	103336	9230
918	103481	9120
919	103591	9007
920	103699	8894
921	103848	8785
922	103950	8671
923	104059	8558
924	104166	8445
925	104276	8333
926	104380	8219
927	104601	8115
928	104831	8011
929	104932	7898
930	105047	7785
931	105160	7672
932	105286	7560
933	105412	7448
934	105542	7337
935	105683	7226
936	105840	7116
937	105991	7005
938	106083	6891
939	106182	6777
940	106401	6671
941	106548	6560
942	106670	6447
943	107157	6356
944	107311	6245
945	107479	6135
946	107645	6024
947	107951	5921
948	108124	5810
949	108334	5701
950	108513	5591
951	108629	5477
952	108758	5363
953	108871	5249
954	109001	5136
955	109111	5021
956	109234	4908
957	109348	4793
958	109464	4679
959	109590	4566
960	109711	4452
961	109828	4338
962	109929	4223
963	110031	4109
964	110130	3994
965	110224	3879
966	110307	3764
967	110390	3649
968	110497	3534
969	110584	3420
970	110683	3305
971	110775	3191
972	110876	3076
973	110981	2962
974	111088	2848
975	111170	2733
976	111257	2619
977	111352	2504
978	111440	2390
979	111528	2276
980	111626	2161
981	111729	2047
982	111813	1933
983	111912	1819
984	112009	1705
985	112111	1591
986	112201	1477
987	112288	1363
988	112391	1250
989	112479	1136
990	112573	1022
991	112681	908
992	112810	795
993	112907	681
994	113008	567
995	113098	454
996	113197	340
997	113280	227
998	113374	113
999	113474	0
